Rank,Athlete,Year,Team,Time,Distance,Points,Meet,Meet Date,Wind,Event,Conference,Gender,Event_ID
1,"Traore, Cheickna",SR-4,Ramapo,10.46,,,Hurricane Invitational,17-Mar-23,2.1,100 Meters,AARTFC,Men,1
2,"Holland, Myron",JR-3,Elizabethtown,10.54,,,40th Millersville Metrics,31-Mar-23,2.9,100 Meters,AARTFC,Men,1
3,"Montville, Brexton",JR-3,Plattsburgh St.,10.7,,,Saints Ice Broken Open,1-Apr-23,3.7,100 Meters,AARTFC,Men,1
4,"Beasley, Jah'mere",SO-2,Rowan,10.72,,,Oscar Moore Invitational 2023,8-Apr-23,0.4,100 Meters,AARTFC,Men,1
5,"Beard, Ryan",SR-4,Westminster (Pa.),10.75,,,Dave Labor Invitational,31-Mar-23,5.5,100 Meters,AARTFC,Men,1
6,"Frank, Andy",SR-4,Ithaca,10.76,,,Muhlenberg Outdoor Invitational,1-Apr-23,2.2,100 Meters,AARTFC,Men,1
7,"Regan, Seth",JR-3,Springfield,10.78,,,SILFEN INVITATIONAL 2023,14-Apr-23,1,100 Meters,AARTFC,Men,1
8,"Corcoran, Evan",FR-1,Rowan,10.79,,,Oscar Moore Invitational 2023,8-Apr-23,0.9,100 Meters,AARTFC,Men,1
9,"Scott, Michael",SO-2,Springfield,10.8,,,Springfield College Classic,8-Apr-23,2,100 Meters,AARTFC,Men,1
9,"Schmitt, Raymond",JR-3,TCNJ,10.8,,,2023 95th Clyde Littlefield Texas Relays,29-Mar-23,3.2,100 Meters,AARTFC,Men,1
11,"Jeffes, Josh",SO-2,SUNY Delhi,10.81,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.2,100 Meters,AARTFC,Men,1
12,"Say, Conrad",JR-3,Johns Hopkins,10.82,,,Bison Outdoor Classic,14-Apr-23,0.9,100 Meters,AARTFC,Men,1
13,"Gray, Trevor",SO-2,Moravian,10.83,,,Muhlenberg Outdoor Invitational,1-Apr-23,2.2,100 Meters,AARTFC,Men,1
14,"Weber, Evan",JR-3,Springfield,10.84,,,SILFEN INVITATIONAL 2023,14-Apr-23,1,100 Meters,AARTFC,Men,1
14,"Summers, Cameron",SR-4,Stevenson,10.84,,,2023 Danny Curran Invitational,30-Mar-23,-0.3,100 Meters,AARTFC,Men,1
16,"Jensen, Lance",SO-2,SUNY Geneseo,10.85,,,RIT Invitational,8-Apr-23,1.2,100 Meters,AARTFC,Men,1
16,"Davis, Deron",FR-1,SUNY Delhi,10.85,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.2,100 Meters,AARTFC,Men,1
18,"Ottenwalder, Aaron",FR-1,Brockport St.,10.94,,,Geneseo Early Season Invitational,2-Apr-23,1.3,100 Meters,AARTFC,Men,1
19,"Cipriano, Jarod",SR-4,Misericordia,10.95,,,Misericordia Twilight 2023,4-Apr-23,0.1,100 Meters,AARTFC,Men,1
19,"McGrath, Tyler",FR-1,Buffalo State,10.95,,,Vertklasse,31-Mar-23,3.7,100 Meters,AARTFC,Men,1
19,"Jantzi, Justin",JR-3,RIT,10.95,,,Bison Outdoor Classic,14-Apr-23,1.2,100 Meters,AARTFC,Men,1
19,"London, P.J.",SO-2,Rochester,10.95,,,Brockport Multi & Invitational,14-Apr-23,0.5,100 Meters,AARTFC,Men,1
19,"Jones, Aaron",SR-4,Cortland St.,10.95,,,Cortland Red Dragon Open,8-Apr-23,0.4,100 Meters,AARTFC,Men,1
24,"Latham, Carson",SO-2,Stockton,10.96,,,Osprey Open and Multi,7-Apr-23,,100 Meters,AARTFC,Men,1
24,"Love, Shamar",SO-2,Rowan,10.96,,,2023 Danny Curran Invitational,30-Mar-23,-0.3,100 Meters,AARTFC,Men,1
24,"Gomez, Justin",JR-3,TCNJ,10.96,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,1.2,100 Meters,AARTFC,Men,1
27,"Etienne, Dave",SR-4,New Jersey City,10.98,,,2023 TCNJ Invitational,8-Apr-23,0.4,100 Meters,AARTFC,Men,1
27,"Mins, Jamel",SO-2,Hood,10.98,,,Bison Outdoor Classic,14-Apr-23,0.3,100 Meters,AARTFC,Men,1
29,"Byrd, Masai",FR-1,Rowan,10.99,,,Oscar Moore Invitational 2023,8-Apr-23,0.4,100 Meters,AARTFC,Men,1
29,"Neuwirth, Russell",SR-4,Muhlenberg,10.99,,,Muhlenberg Outdoor Invitational,1-Apr-23,2.2,100 Meters,AARTFC,Men,1
29,"Penta, Anthony",JR-3,Springfield,10.99,,,Springfield College Classic,8-Apr-23,2,100 Meters,AARTFC,Men,1
32,"Hadasz, Andrew",JR-3,Utica,11.01,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.2,100 Meters,AARTFC,Men,1
33,"Abdo, Nick",SR-4,Fredonia,11.02,,,Bison Outdoor Classic,14-Apr-23,-0.1,100 Meters,AARTFC,Men,1
33,"Glover, Zion",JR-3,NYU,11.02,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,1.2,100 Meters,AARTFC,Men,1
33,"Sands, Cameron",FR-1,Oneonta,11.02,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.2,100 Meters,AARTFC,Men,1
36,"Harmsen, Joshua",SR-4,Hamilton,11.06,,,RPI Under the Lights Invite 2023,14-Apr-23,1.8,100 Meters,AARTFC,Men,1
36,"Florczak, Nicholas",FR-1,Alfred State,11.06,,,Brockport Multi & Invitational,14-Apr-23,0.5,100 Meters,AARTFC,Men,1
36,"Williams, Jordan",FR-1,Plattsburgh St.,11.06,,,Saints Ice Broken Open,1-Apr-23,3.7,100 Meters,AARTFC,Men,1
39,"Lodge, Andrew",SR-4,TCNJ,11.07,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,1.2,100 Meters,AARTFC,Men,1
40,"Elmogi, Ahmed",SO-2,Johns Hopkins,11.08,,,2023 Towson Spring Open,31-Mar-23,0.6,100 Meters,AARTFC,Men,1
40,"Morse, Brett",SR-4,Cortland St.,11.08,,,Cortland Red Dragon Open,8-Apr-23,0.4,100 Meters,AARTFC,Men,1
42,"Dunbar, Kyle",JR-3,DeSales,11.09,,,Muhlenberg Outdoor Invitational,1-Apr-23,0.9,100 Meters,AARTFC,Men,1
42,"Winn, Jacob",FR-1,Fredonia,11.09,,,Bison Outdoor Classic,14-Apr-23,0.7,100 Meters,AARTFC,Men,1
44,"Knowles, Samuel",SO-2,Widener,11.1,,,WCU Bill Butler Invitational,15-Apr-23,-1,100 Meters,AARTFC,Men,1
44,"Engler, Jason",SR-4,TCNJ,11.1,,,2023 Messiah Multi/Invitational,13-Apr-23,1.2,100 Meters,AARTFC,Men,1
