
1,"Holland, Myron",JR-3,Elizabethtown,6.79,2023 Landmark Conference Indoor Track & Field Championships,"Feb 25, 2023"
2,"Summers, Cameron",SR-4,Stevenson,6.89,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
3,"Coleman, Oral-Anthony",SO-2,McDaniel,6.93,2023 Centennial Conference Indoor Championships,"Feb 25, 2023"
4,"Mathews, Isaiah",JR-3,Waynesburg,6.97,PAC Indoor Track & Field Championships,"Feb 23, 2023"
5,"Shelton, Jacob",JR-3,Salisbury,7.01,Coast-To-Coast Athletic Conference Indoor Championships,"Feb 17, 2023"
6,"Cestaro, Anthony",FR-1,Washington & Jefferson,7.04,PAC Indoor Track & Field Championships,"Feb 23, 2023"
6,"Halkias, Alexander",SR-4,Carnegie Mellon,7.04,UAA Indoor Track & Field Championships,"Feb 25, 2023"
6,"Beard, Ryan",SR-4,Westminster (Pa.),7.04,PAC Indoor Track & Field Championships,"Feb 23, 2023"
6,"Kelly, Jacob",FR-1,Carnegie Mellon,7.04,University of Mount Union Tune-Up,"Feb 18, 2023"
6,"Mins, Jamel",SO-2,Hood,7.04,2023 Middle Atlantic Conference Indoor T&F Championships,"Feb 24, 2023"
11,"Say, Conrad",JR-3,Johns Hopkins,7.05,2023 Centennial Conference Indoor Championships,"Feb 25, 2023"
12,"Cipriano, Jarod",JR-3,Misericordia,7.06,2023 Middle Atlantic Conference Indoor T&F Championships,"Feb 24, 2023"
13,"Ellington, Evan",SR-4,Hood,7.08,2023 Middle Atlantic Conference Indoor T&F Championships,"Feb 24, 2023"
13,"Garin, Verne",SR-4,Carnegie Mellon,7.08,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
13,"Asamoah, Korell",FR-1,Hood,7.08,2023 Middle Atlantic Conference Indoor T&F Championships,"Feb 24, 2023"
16,"Zimmerman, Brandon",SO-2,Susquehanna,7.09,Susquehanna Early Season Multi and Invite,"Dec 9, 2022"
16,"Smith, Kai",FR-1,Salisbury,7.09,CNU Holiday Open,"Dec 3, 2022"
16,"Coulter, Elliot",SO-2,Franklin & Marshall,7.09,Diplomat Open @ Franklin & Marshall,"Dec 9, 2022"
19,"Elmogi, Ahmed",SO-2,Johns Hopkins,7.11,2023 Centennial Conference Indoor Championships,"Feb 25, 2023"
