
1,"Brown, Kelly",JR-3,Brockport St.,6.97,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
2,"Montville, Brexton",JR-3,Plattsburgh St.,6.98,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Abdo, Nick",SR-4,Fredonia,7.03,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
4,"McGrath, Tyler",FR-1,Buffalo State,7.04,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Schaffert, Matthew",FR-1,Cortland St.,7.07,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Boothby, Eli",FR-1,SUNY Geneseo,7.07,Houghton December Classic,"Dec 2, 2022"
7,"Jensen, Lance",SO-2,SUNY Geneseo,7.08,Winter Welcome Back,"Jan 21, 2023"
8,"Jacobs, Bryan",SO-2,SUNY Geneseo,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
8,"Jeziorski, Josh",SR-4,Brockport St.,7.09,Nazareth Alumni Invite,"Dec 9, 2022"
8,"Ottenwalder, Aaron",FR-1,Brockport St.,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
11,"Williams, Jordan",FR-1,Plattsburgh St.,7.13,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
12,"Sands, Cameron",FR-1,Oneonta,7.14,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
13,"Higgins, Zaire",SO-2,Cortland St.,7.15,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
13,"Jones, Aaron",SR-4,Cortland St.,7.15,Utica Holiday Classic,"Dec 10, 2022"
15,"Polk, Jarrod",FR-1,Buffalo State,7.16,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
16,"Nix, Howard",FR-1,Brockport St.,7.17,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
17,"Goring, Coltrane",SR-4,Cortland St.,7.18,Greg Page 2022,"Dec 3, 2022"
17,"Ganley, Chris",JR-3,Oneonta,7.18,Marc Deneault Invitational 2023,"Feb 18, 2023"
17,"Delany, Judson",FR-1,SUNY Geneseo,7.18,Nazareth Alumni Invite,"Dec 9, 2022"
20,"Jensen, Evan",SO-2,Cortland St.,7.21,Greg Page 2022,"Dec 3, 2022"
20,"Winn, Jacob",FR-1,Fredonia,7.21,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Serp, Ryan",SR-4,Cortland St.,7.23,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
22,"Dankwa, Alex",JR-3,Buffalo State,7.23,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Manente, Eddie",FR-1,Cortland St.,7.23,2023 Bomber Invitational,"Feb 4, 2023"
25,"Cypress, Charles",FR-1,Plattsburgh St.,7.26,Middlebury Winter Classic,"Jan 20, 2023"
26,"Nieves, Eric",SO-2,Oneonta,7.27,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
27,"James, Julius",FR-1,Plattsburgh St.,7.28,Saints Holiday Relays,"Dec 3, 2022"
27,"Kent, Andrews",FR-1,SUNY Geneseo,7.28,Houghton December Classic,"Dec 2, 2022"
27,"Rappazzo, Jason",SR-4,SUNY Geneseo,7.28,Houghton December Classic,"Dec 2, 2022"
27,"Style, Brendan",SO-2,SUNY Geneseo,7.28,RIT February Friday Invitational,"Feb 10, 2023"
31,"Muslim Dost, Nas",SO-2,Buffalo State,7.29,Nazareth Alumni Invite,"Dec 9, 2022"
32,"Sesay, Alhagie-Sorie",SR-4,Cortland St.,7.30,Greg Page 2022,"Dec 3, 2022"
33,"Oduro, Junior",SO-2,Potsdam St.,7.31,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
34,"Ibalio, David",SO-2,Buffalo State,7.32,Houghton December Classic,"Dec 2, 2022"
35,"Pavelchak, James",SO-2,Brockport St.,7.33,Brockport Multi,"Feb 3, 2023"
36,"Alexander, Jaron",JR-3,Buffalo State,7.34,Houghton December Classic,"Dec 2, 2022"
37,"Gavalas, Harrison",FR-1,Cortland St.,7.35,Greg Page 2022,"Dec 3, 2022"
38,"Walker, Moray",FR-1,Buffalo State,7.36,Brockport Multi,"Feb 3, 2023"
38,"Frost, Evan",FR-1,SUNY Geneseo,7.36,Nazareth Conference Tune-Up,"Feb 17, 2023"
40,"Stewart, Sean",JR-3,SUNY Geneseo,7.37,Brockport Multi,"Feb 3, 2023"
40,"Root, Brandon",SO-2,Cortland St.,7.37,Greg Page 2022,"Dec 3, 2022"
40,"Harris, Isaiah",FR-1,Buffalo State,7.37,Houghton December Classic,"Dec 2, 2022"
43,"Mairena, Jacob",FR-1,Buffalo State,7.39,Nazareth Alumni Invite,"Dec 9, 2022"
43,"Ramirez, Joel",SO-2,Buffalo State,7.39,Houghton December Classic,"Dec 2, 2022"
45,"Jerome, Joshua",FR-1,Oneonta,7.40,Greg Page 2022,"Dec 3, 2022"
46,"Devine, Dylan",SO-2,Buffalo State,7.41,Nazareth Alumni Invite,"Dec 9, 2022"
46,"Mangogna, Richard",SO-2,Oneonta,7.41,2023 Bomber Invitational,"Feb 4, 2023"
46,"Roehrig, Nathan",FR-1,Brockport St.,7.41,Brockport Multi,"Feb 3, 2023"
49,"Lewis, Marcus",FR-1,SUNY Geneseo,7.42,Brockport Multi,"Feb 3, 2023"

1,"Montgomery, Mia",SR-4,Brockport St.,7.82,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
2,"Shepardson, Gwen",SR-4,SUNY Geneseo,7.86,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Levine, Sarah",SR-4,Brockport St.,7.91,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
4,"Sobczyk, Kendall",FR-1,Cortland St.,7.95,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
4,"Pittman, Autumn",SO-2,Cortland St.,7.95,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
4,"Laster, Khia",SO-2,Buffalo State,7.95,AARTFC Indoor Track & Field Championships,"Mar 3, 2023"
7,"Koutsourades, Kate",JR-3,SUNY Geneseo,8.01,Nazareth Conference Challenge Cup,"Jan 28, 2023"
8,"Huba, Kayla",FR-1,SUNY Geneseo,8.03,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
8,"Wise, Marissa",SO-2,Brockport St.,8.03,Utica Winter Opener,"Jan 14, 2023"
10,"LaBelle, Alyssa",SR-4,Cortland St.,8.07,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
11,"Liriano, Elizabeth",SR-4,Cortland St.,8.09,Greg Page 2022,"Dec 3, 2022"
12,"Mooney, Brynn",FR-1,SUNY Geneseo,8.10,Houghton December Classic,"Dec 2, 2022"
13,"Jacques, Katelyn",SO-2,SUNY Geneseo,8.14,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
13,"Klimow, Julianna",SO-2,SUNY Geneseo,8.14,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
15,"Lewis, Josephine",JR-3,SUNY Geneseo,8.21,Nazareth Alumni Invite,"Dec 9, 2022"
16,"Ross, Julia",FR-1,Cortland St.,8.29,Marc Deneault Invitational 2023,"Feb 18, 2023"
17,"Nnate, Ejim",SO-2,Oneonta,8.30,Utica Blue & Orange Invite and Multi,"Jan 27, 2023"
17,"Pynn, Sam",SO-2,SUNY Geneseo,8.30,Nazareth Conference Challenge Cup,"Jan 28, 2023"
19,"Klimow, Skyler",FR-1,SUNY Geneseo,8.31,Nazareth Alumni Invite,"Dec 9, 2022"
20,"Jaworski, Olivia",FR-1,SUNY Geneseo,8.32,Nazareth Alumni Invite,"Dec 9, 2022"
21,"Jackson, Danielle",SO-2,Oneonta,8.33,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
22,"Florczak, Victoria",JR-3,Buffalo State,8.34,Houghton December Classic,"Dec 2, 2022"
23,"Wagner, Madison",FR-1,Potsdam St.,8.38,Utica Pioneer Fast Trax Invite,"Feb 4, 2023"
23,"Machida, Ayaka",JR-3,SUNY Geneseo,8.38,Nazareth Alumni Invite,"Dec 9, 2022"
25,"Johnson, McKenna",FR-1,SUNY Geneseo,8.39,Nazareth Alumni Invite,"Dec 9, 2022"
26,"Petty, Margaret",FR-1,Oneonta,8.40,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023"
27,"Schaffer, Michaela",SO-2,Plattsburgh St.,8.41,SLU Indoor Invitational,"Jan 28, 2023"
28,"Nelson, Faith",SO-2,Cortland St.,8.43,Marc Deneault Invitational 2023,"Feb 18, 2023"
29,"Lawless, Brianna",SR-4,Brockport St.,8.44,Brockport Multi,"Feb 3, 2023"
30,"Surowick, Allyson",SO-2,SUNY Geneseo,8.45,Nazareth Alumni Invite,"Dec 9, 2022"
30,"Peralta, Yasmine",FR-1,Cortland St.,8.45,Greg Page 2022,"Dec 3, 2022"
32,"Jacobs, Annabel",JR-3,Cortland St.,8.47,Utica Holiday Classic,"Dec 10, 2022"
32,"Hebert, Avery",JR-3,Cortland St.,8.47,Greg Page 2022,"Dec 3, 2022"
34,"Raczka, Jenna",FR-1,Buffalo State,8.48,Nazareth Conference Tune-Up,"Feb 17, 2023"
34,"Alvira, Ally",SO-2,SUNY Geneseo,8.48,RIT February Friday Invitational,"Feb 10, 2023"
36,"Motto, Gianna",FR-1,Cortland St.,8.49,RIT February Friday Invitational,"Feb 10, 2023"
36,"Bostic, Courtney",FR-1,Brockport St.,8.49,Nazareth Alumni Invite,"Dec 9, 2022"
36,"Zoch, Deanna",JR-3,Plattsburgh St.,8.49,Saints Holiday Relays,"Dec 3, 2022"
39,"Teglash, Stefani",JR-3,SUNY Geneseo,8.51,Brockport Multi,"Feb 3, 2023"
40,"von Ahn, Hailey",SO-2,Potsdam St.,8.56,SLU Indoor Invitational,"Jan 28, 2023"
41,"Thompson, Morgan",SO-2,Plattsburgh St.,8.57,Saints Holiday Relays,"Dec 3, 2022"

1,"Jensen, Lance",SO-2,SUNY Geneseo,21.81,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
2,"Jensen, Evan",SO-2,Cortland St.,22.28,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
3,"Morse, Brett",SR-4,Cortland St.,22.29,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
4,"Jones, Aaron",SR-4,Cortland St.,22.34,Utica Holiday Classic,"Dec 10, 2022",NWI
5,"Abdo, Nick",SR-4,Fredonia,22.44,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
6,"Goring, Coltrane",SR-4,Cortland St.,"22.46
%",AARTFC Indoor Track & Field Championships,"Mar 3, 2023",NWI
7,"McGrath, Tyler",FR-1,Buffalo State,"22.64
%",AARTFC Indoor Track & Field Championships,"Mar 3, 2023",NWI
7,"Ottenwalder, Aaron",FR-1,Brockport St.,22.64,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
9,"Rappazzo, Jason",SR-4,SUNY Geneseo,22.65,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
9,"Montville, Brexton",JR-3,Plattsburgh St.,22.65,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
11,"Knapp, Douglas",SR-4,Cortland St.,22.71,2023 Bomber Invitational,"Feb 4, 2023",NWI
12,"Brown, Kelly",JR-3,Brockport St.,22.86,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
13,"Gavalas, Harrison",FR-1,Cortland St.,22.87,2023 Bomber Invitational,"Feb 4, 2023",NWI
14,"Harrington, Aidan",JR-3,Oswego State,22.92,Nazareth Conference Tune-Up,"Feb 17, 2023",NWI
15,"Delany, Judson",FR-1,SUNY Geneseo,22.93,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
16,"Schaffert, Matthew",FR-1,Cortland St.,22.96,2023 Bomber Invitational,"Feb 4, 2023",NWI
16,"Kent, Andrew",FR-1,SUNY Geneseo,22.96,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
18,"Goldszer, John",JR-3,SUNY Geneseo,23.03,Brockport Multi,"Feb 3, 2023",NWI
19,"Marsowicz, Nick",FR-1,Fredonia,"23.05
%",2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
20,"Onuoha, Toby",SR-4,Fredonia,23.06,Brockport Multi,"Feb 3, 2023",NWI
21,"Jeziorski, Josh",SR-4,Brockport St.,23.09,Utica Winter Opener,"Jan 14, 2023",NWI
22,"Dankwa, Alex",JR-3,Buffalo State,"23.12
%",2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
22,"Sesay, Alhagie-Sorie",SR-4,Cortland St.,23.12,Utica Holiday Classic,"Dec 10, 2022",NWI
24,"Ibalio, David",SO-2,Buffalo State,23.18,Brockport Multi,"Feb 3, 2023",NWI
25,"Cypress, Charles",FR-1,Plattsburgh St.,23.20,Middlebury Winter Classic,"Jan 20, 2023",NWI
26,"Manente, Eddie",FR-1,Cortland St.,23.36,Marc Deneault Invitational 2023,"Feb 18, 2023",NWI
27,"Polk, Jarrod",FR-1,Buffalo State,23.42,Nazareth Conference Tune-Up,"Feb 17, 2023",NWI
28,"Winn, Jacob",FR-1,Fredonia,23.44,Nazareth Conference Tune-Up,"Feb 17, 2023",NWI
29,"Williams, Jordan",FR-1,Plattsburgh St.,23.45,Utica Pioneer Fast Trax Invite,"Feb 4, 2023",NWI
30,"Root, Brandon",SO-2,Cortland St.,23.47,2023 Bomber Invitational,"Feb 4, 2023",NWI
30,"O'Gorman, Andrew",JR-3,Cortland St.,23.47,Utica Holiday Classic,"Dec 10, 2022",NWI
32,"Jarski, Luke",SO-2,Oneonta,23.57,Utica Blue & Orange Invite and Multi,"Jan 27, 2023",NWI
33,"Garske, Austin",SO-2,Cortland St.,23.58,Nazareth Conference Challenge Cup,"Jan 28, 2023",NWI
34,"Awolowo, Oba",FR-1,Cortland St.,23.59,Utica Holiday Classic,"Dec 10, 2022",NWI
35,"Broadnax, Mathew",JR-3,Oswego State,23.60,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023",NWI
36,"Oduro, Junior",SO-2,Potsdam St.,23.62,Utica Pioneer Fast Trax Invite,"Feb 4, 2023",NWI
37,"Williams, Dylan",FR-1,Buffalo State,23.71,Brockport Multi,"Feb 3, 2023",NWI
38,"Darrigo, Nick",FR-1,Oneonta,"23.76
%",2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
39,"Schrom, Justin",SO-2,Cortland St.,23.79,RIT February Friday Invitational,"Feb 10, 2023",NWI
40,"Jerome, Joshua",FR-1,Oneonta,"23.81
%",2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
41,"Pavelchak, James",SO-2,Brockport St.,23.83,Winter Welcome Back,"Jan 21, 2023",NWI
42,"Higgins, Zaire",SO-2,Cortland St.,23.88,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023",NWI
43,"Mars, Dan",FR-1,Oswego State,23.90,RIT February Friday Invitational,"Feb 10, 2023",NWI
44,"Frost, Evan",FR-1,SUNY Geneseo,23.91,Brockport Multi,"Feb 3, 2023",NWI
