
1,"Anderson, CJ",SO-2,Greenville,10.47,Wash U 5 Way,"Mar 25, 2023",3.0
2,"LaTouche, Chase",SO-2,Greenville,10.62,Wash U Invite,"Mar 31, 2023",4.3
3,"Perez, Elijah",SR-4,Webster,10.64,2023 CMU Invite,"Mar 31, 2023",6.6
4,"Harris, Kourtland",FR-1,Greenville,10.92,Wash U 5 Way,"Mar 25, 2023",3.0
5,"Garrett, Marcus",FR-1,Greenville,11.17,Wash U 5 Way,"Mar 25, 2023",1.7
6,"Aubuchon, Steven",SO-2,Webster,11.28,2023 CMU Invite,"Mar 31, 2023",2.0
7,"Merrit, Austin",FR-1,Webster,11.42,2023 CMU Invite,"Mar 31, 2023",1.3
8,"Feess, Dominic",JR-3,Greenville,11.47,Wash U Invite,"Mar 31, 2023",4.3
9,"Grant, Malik",SO-2,Greenville,11.53,Wash U 5 Way,"Mar 25, 2023",1.7
10,"Exume, Walentz",SO-2,Greenville,11.62,Wash U 5 Way,"Mar 25, 2023",1.4
11,"Garrett, Paul",SO-2,Greenville,11.73,Wash U 5 Way,"Mar 25, 2023",1.7
12,"Nowlin, Jair",FR-1,Greenville,11.74,Wash U 5 Way,"Mar 25, 2023",1.4
13,"Winston, Amari",FR-1,Greenville,11.81,Wash U Invite,"Mar 31, 2023",3.1
14,"Sempumbu, Pius",SO-2,Principia,11.95,Wash U Invite,"Mar 31, 2023",2.2
15,"Clarkson, Ryan",FR-1,Spalding,11.99,Montreat College Open,"Mar 24, 2023",1.2
16,"Whitehead, Demontri",FR-1,Spalding,12.03,Jim Vargo Invitational,"Mar 17, 2023",1.8
16,"Webb, Andre",JR-3,Fontbonne,12.03,Miner Invitational,"Mar 24, 2023",1.1
18,"Jones, Aaron",SO-2,Greenville,12.27,Wash U 5 Way,"Mar 25, 2023",1.4
19,"Reynolds, Ty",FR-1,Spalding,12.74,Jim Vargo Invitational,"Mar 17, 2023",2.5
20,"Jenkins, Erick",FR-1,Spalding,12.78,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",-0.6
21,"Klein, Kaiden",SO-2,Webster,13.11,2023 CMU Invite,"Mar 31, 2023",1.3

1,"Sharp, Cayden",SR-4,Greenville,12.30,Wash U 5 Way,"Mar 25, 2023",1.4
2,"Fritz, Jocelyn",SO-2,Greenville,12.95,Wash U Invite,"Mar 31, 2023",2.5
3,"Williams, Ariana",FR-1,Principia,13.45,Wash U Invite,"Mar 31, 2023",2.8
4,"Huffstetter, Madelyn",JR-3,Fontbonne,13.52,Miner Invitational,"Mar 24, 2023",0.2
5,"Kamara, Aissata",FR-1,Webster,13.61,2023 CMU Invite,"Mar 31, 2023",1.1
6,"Patton, Kianna",SO-2,Webster,13.84,2023 CMU Invite,"Mar 31, 2023",1.1
7,"Hagan, Shyanne",FR-1,Spalding,14.00,Montreat College Open,"Mar 24, 2023",-1.9
8,"Kleist, Kaylee",FR-1,Principia,15.10,Wash U Invite,"Mar 31, 2023",2.8
9,"Amwikato, Lessly",FR-1,Principia,15.53,Wash U Invite,"Mar 31, 2023",2.5

1,"LaTouche, Chase",SO-2,Greenville,22.13,Wash U 5 Way,"Mar 25, 2023",0.8
2,"Perez, Elijah",SR-4,Webster,22.21,2023 CMU Invite,"Mar 31, 2023",2.0
3,"Garrett, Marcus",FR-1,Greenville,22.49,Wash U Invite,"Mar 31, 2023",3.4
4,"Trevino, Claudio",SO-2,Greenville,22.58,Wash U Invite,"Mar 31, 2023",1.6
4,"Harris, Kourtland",FR-1,Greenville,22.58,Wash U Invite,"Mar 31, 2023",3.4
6,"Andino, Noel",SO-2,Greenville,22.66,Wash U Invite,"Mar 31, 2023",1.6
7,"Aubuchon, Steven",SO-2,Webster,23.01,2023 CMU Invite,"Mar 31, 2023",2.9
8,"Feess, Dominic",JR-3,Greenville,23.20,Wash U Invite,"Mar 31, 2023",4.2
9,"Peternel, Jordan",SO-2,Greenville,23.23,Wash U 5 Way,"Mar 25, 2023",2.2
10,"Baraza, Juniour",JR-3,Principia,23.44,2023 Falcon Classic & Multi,"Mar 17, 2023",-1.5
11,"Hussey, Dillon",JR-3,Principia,23.55,Wash U Invite,"Mar 31, 2023",2.7
12,"Winston, Amari",FR-1,Greenville,23.99,Wash U Invite,"Mar 31, 2023",2.7
13,"Clarkson, Ryan",FR-1,Spalding,24.29,Montreat College Open,"Mar 24, 2023",-2.1
14,"Hall-Baker, KeYonn",JR-3,Fontbonne,24.32,Miner Invitational,"Mar 24, 2023",+0.0
15,"Janning, Gavin",FR-1,Spalding,24.76,Montreat College Open,"Mar 24, 2023",-1.0
16,"Sempumbu, Pius",SO-2,Principia,24.93,2023 Falcon Classic & Multi,"Mar 17, 2023",1.1
17,"Jones, Aaron",SO-2,Greenville,25.10,Wash U Invite,"Mar 31, 2023",2.7
18,"Klein, Kaiden",SO-2,Webster,26.25,2023 CMU Invite,"Mar 31, 2023",1.9
19,"Reynolds, Ty",FR-1,Spalding,26.71,Jim Vargo Invitational,"Mar 17, 2023",-3.1
20,"Whitehead, Demontri",FR-1,Spalding,26.97,Jim Vargo Invitational,"Mar 17, 2023",-3.8

1,"Sharp, Cayden",SR-4,Greenville,25.41,Wash U Invite,"Mar 31, 2023",3.2
2,"Owens, Eyonna",FR-1,Greenville,26.41,Wash U Invite,"Mar 31, 2023",3.2
3,"Boyer, Mirsa",FR-1,Principia,27.45,Wash U Invite,"Mar 31, 2023",2.7
4,"Lofgren, Alexa",SO-2,Fontbonne,27.52,Miner Invitational,"Mar 24, 2023",+0.0
5,"Pierce, Madi",FR-1,Greenville,28.28,Wash U Invite,"Mar 31, 2023",2.7
6,"Kamara, Aissata",FR-1,Webster,28.52,2023 CMU Invite,"Mar 31, 2023",0.9
7,"Hagan, Shyanne",FR-1,Spalding,29.19,Montreat College Open,"Mar 24, 2023",NWI
8,"Kleist, Kaylee",FR-1,Principia,30.29,Wash U Invite,"Mar 31, 2023",3.6
9,"Amwikato, Lessly",FR-1,Principia,32.62,Wash U Invite,"Mar 31, 2023",2.5
10,"Reinhardt, Vivienne",SO-2,Spalding,33.04,Montreat College Open,"Mar 24, 2023",-2.9

1,"Koranteng, Nana",FR-1,Principia,50.56,2023 Falcon Classic & Multi,"Mar 17, 2023"
2,"Baraza, Juniour",JR-3,Principia,51.60,Wash U Invite,"Mar 31, 2023"
3,"Clark, Joshua",SO-2,Webster,52.50,2023 CMU Invite,"Mar 31, 2023"
4,"Hussey, Dillon",JR-3,Principia,52.55,2023 Falcon Classic & Multi,"Mar 17, 2023"
5,"James, Howard",SO-2,Principia,53.21,Wash U Invite,"Mar 31, 2023"
6,"Janning, Gavin",FR-1,Spalding,53.73,Montreat College Open,"Mar 24, 2023"
7,"Clarkson, Ryan",FR-1,Spalding,55.08,Jim Vargo Invitational,"Mar 17, 2023"
8,"Kunzeman, Tate",FR-1,Blackburn,55.20,Wash U Invite,"Mar 31, 2023"
9,"Merrit, Austin",FR-1,Webster,56.19,2023 CMU Invite,"Mar 31, 2023"
10,"Hord, Locke",JR-3,Blackburn,56.60,Wash U Invite,"Mar 31, 2023"
11,"Teig, Will",FR-1,Blackburn,57.63,Wash U Invite,"Mar 31, 2023"
12,"Blair, Tobin",SO-2,Principia,57.66,Wash U Invite,"Mar 31, 2023"
13,"Alleyne, Khlil",SO-2,Eureka,57.96,2023 Millikin Alumni Invite,"Apr 1, 2023"
14,"Dumorney, Fabian",SO-2,Greenville,58.63,Wash U Invite,"Mar 31, 2023"
15,"Amador, Jose",FR-1,Eureka,59.47,2023 Millikin Alumni Invite,"Apr 1, 2023"
16,"Skaggs, Hayden",SO-2,Eureka,1:10.90,2023 Millikin Alumni Invite,"Apr 1, 2023"

1,"Fisher, Rachel",FR-1,Eureka,1:04.34,2023 EIU Big Blue,"Mar 24, 2023"
2,"Roberts, Alexis",SO-2,Greenville,1:05.60,Wash U 5 Way,"Mar 25, 2023"
3,"Compton, Vanessa",SO-2,Greenville,1:06.00,Wash U Invite,"Mar 31, 2023"
4,"McKee, Brooklyn",FR-1,Greenville,1:06.95,Wash U Invite,"Mar 31, 2023"
5,"Geppert, Payten",SO-2,Greenville,1:08.37,Wash U 5 Way,"Mar 25, 2023"
6,"Reinhardt, Vivienne",SO-2,Spalding,1:09.56,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023"
7,"Schwaab, Eva",SO-2,Greenville,1:10.63,Wash U 5 Way,"Mar 25, 2023"
8,"Leslie, Madi",FR-1,Principia,1:12.18,2023 Falcon Classic & Multi,"Mar 17, 2023"
9,"Senser, Lia",FR-1,Principia,1:16.83,2023 Falcon Classic & Multi,"Mar 17, 2023"
10,"Bryant, Alyssa",SO-2,Eureka,1:21.28,2023 Millikin Alumni Invite,"Apr 1, 2023"

1,"Triggs, Kaelin",JR-3,Webster,1:57.43,2023 CMU Invite,"Mar 31, 2023"
2,"Gomez, Joe",SO-2,Greenville,1:57.75,Wash U 5 Way,"Mar 25, 2023"
3,"Koranteng, Nana",FR-1,Principia,1:58.01,2023 Falcon Classic & Multi,"Mar 17, 2023"
4,"Carlson, Kaleb",SR-4,Greenville,1:58.39,Wash U 5 Way,"Mar 25, 2023"
5,"Rutledge, Drake",FR-1,Greenville,1:59.73,Wash U 5 Way,"Mar 25, 2023"
6,"Hussey, Dillon",JR-3,Principia,2:01.76,Wash U Invite,"Mar 31, 2023"
7,"Atkins, Isaiah",JR-3,Greenville,2:02.47,Wash U 5 Way,"Mar 25, 2023"
8,"Franz, Jalen",SO-2,Greenville,2:02.54,Wash U Invite,"Mar 31, 2023"
9,"Goodenow, James",SO-2,Greenville,2:03.70,Wash U Invite,"Mar 31, 2023"
10,"Espinoza, Osvaldo",SO-2,Greenville,2:08.53,Wash U 5 Way,"Mar 25, 2023"
11,"Frye, Wyatt",FR-1,Spalding,2:09.77,Montreat College Open,"Mar 24, 2023"
12,"Wenke, Joey",SO-2,Greenville,2:10.77,Wash U Invite,"Mar 31, 2023"
13,"Alarcon, Gerardo",FR-1,Greenville,2:13.92,Wash U 5 Way,"Mar 25, 2023"
14,"Gray, Christian",SR-4,Webster,2:22.60,2023 CMU Invite,"Mar 31, 2023"
15,"Nova, Marco",SO-2,Blackburn,2:39.37,Wash U Invite,"Mar 31, 2023"

1,"Fisher, Rachel",FR-1,Eureka,2:26.54,2023 EIU Big Blue,"Mar 24, 2023"
2,"Mansfield, Olivia",SO-2,Greenville,2:27.76,Wash U 5 Way,"Mar 25, 2023"
3,"Heffernan, Karissa",SO-2,Eureka,2:30.90,2023 EIU Big Blue,"Mar 24, 2023"
4,"McKee, Brooklyn",FR-1,Greenville,2:31.51,Wash U 5 Way,"Mar 25, 2023"
5,"Compton, Vanessa",SO-2,Greenville,2:33.86,Wash U 5 Way,"Mar 25, 2023"
6,"Bartz, Megan",SR-4,Webster,2:35.33,2023 CMU Invite,"Mar 31, 2023"
7,"Brown, Leah",JR-3,Greenville,2:41.13,Wash U Invite,"Mar 31, 2023"
8,"Hintz, Makenna",SO-2,Greenville,2:44.86,Wash U Invite,"Mar 31, 2023"
9,"Onyechi, Joy",FR-1,Principia,2:53.29,Wash U Invite,"Mar 31, 2023"
10,"Koskey, Molly",SR-4,Blackburn,3:01.18,Wash U Invite,"Mar 31, 2023"
11,"Hill, Haley",JR-3,Principia,3:16.36,2023 Falcon Classic & Multi,"Mar 17, 2023"
12,"Kimbro, Sarah",JR-3,Eureka,3:19.16,2023 Millikin Alumni Invite,"Apr 1, 2023"

1,"Estrada, Gianni",SO-2,Greenville,4:02.59,Wash U 5 Way,"Mar 25, 2023"
2,"Carlson, Kaleb",SR-4,Greenville,4:05.76,Wash U Invite,"Mar 31, 2023"
3,"Gomez, Joe",SO-2,Greenville,4:14.00,Wash U Invite,"Mar 31, 2023"
4,"Perry, Jeremiah",SO-2,Greenville,4:14.85,Wash U 5 Way,"Mar 25, 2023"
5,"Koranteng, Nana",FR-1,Principia,4:20.33,Wash U Invite,"Mar 31, 2023"
6,"Atkins, Isaiah",JR-3,Greenville,4:21.44,Wash U Invite,"Mar 31, 2023"
7,"Frye, Wyatt",FR-1,Spalding,4:27.15,Jim Vargo Invitational,"Mar 17, 2023"
8,"Baker, Sam",JR-3,Webster,4:27.70,2023 CMU Invite,"Mar 31, 2023"
