
1,"Jefferson, Elijah",SO-2,Texas Lutheran,10.48,D3 Challenge,"Mar 25, 2023",1.3
2,"Wilson, Wyatt",SO-2,Texas Lutheran,10.74,D3 Challenge,"Mar 25, 2023",1.3
3,"Williams, Josh",FR-1,Colorado College,"10.81
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",0.1
4,"Anderson, Azariah",SO-2,Trinity (Tex.),10.85,David Noble Relays,"Apr 7, 2023",0.9
5,"Guzman, Weston",FR-1,Texas Lutheran,10.88,D3 Challenge,"Mar 25, 2023",1.3
6,"Grigsby, Legend",JR-3,Trinity (Tex.),10.91,D3 Challenge,"Mar 25, 2023",1.3
7,"Piken, Orie",FR-1,Trinity (Tex.),10.96,D3 Challenge,"Mar 25, 2023",1.2
8,"Ikwuemesi, Chuks",SO-2,Southwestern (Tex.),10.97,David Noble Relays,"Apr 7, 2023",2.9
9,"Powell-Chimene, Bryce",JR-3,Texas Lutheran,11.02,David Noble Relays,"Apr 7, 2023",0.9
10,"Rainey, Brian",SO-2,Trinity (Tex.),11.04,D3 Challenge,"Mar 25, 2023",1.3
10,"Davis, Victor",FR-1,St. Thomas (Tex.),11.04,The 40th Victor Lopez Classic (College),"Mar 23, 2023",0.5
12,"Witt, Evan",SR-4,Trinity (Tex.),11.22,D3 Challenge,"Mar 25, 2023",1.2
13,"Bullinger, Drew",SR-4,Trinity (Tex.),11.23,D3 Challenge,"Mar 25, 2023",1.2
14,"Franks, Rickey",FR-1,Texas Lutheran,11.24,D3 Challenge,"Mar 25, 2023",1.2
14,"Freeney, Justin",FR-1,Texas Lutheran,11.24,David Noble Relays,"Apr 7, 2023",1.1
16,"Taisague, Gianni",JR-3,Southwestern (Tex.),11.26,D3 Challenge,"Mar 25, 2023",0.6
17,"Mingo, Makale",SO-2,St. Thomas (Tex.),11.27,The 40th Victor Lopez Classic (College),"Mar 23, 2023",1.2
18,"Burns, Colin",FR-1,Texas Lutheran,11.34,D3 Challenge,"Mar 25, 2023",2.1
19,"Jackson, Zakyrn",SO-2,Southwestern (Tex.),11.37,2023 Trinity Invitational,"Mar 3, 2023",0.8
19,"Hunter, Lydell",FR-1,Centenary (La.),11.37,Southern Arkansas-Dan Veach Invite,"Mar 25, 2023",0.8
21,"Perry, Holden",SO-2,Colorado College,"11.38
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",0.1
22,"Sun, Kyle",SO-2,Colorado College,"11.39
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",0.1
23,"Lee, Austin",JR-3,Trinity (Tex.),11.43,D3 Challenge,"Mar 25, 2023",1.2
24,"Svacina, Trent",FR-1,Trinity (Tex.),11.45,D3 Challenge,"Mar 25, 2023",2.1
25,"Harris, Coby",SO-2,Centenary (La.),11.48,Pelican Relays,"Apr 8, 2023",2.0

1,"Murdock, Trinity",JR-3,Texas Lutheran,12.42,D3 Challenge,"Mar 25, 2023",1.7
2,"Selber, Danya",JR-3,Trinity (Tex.),12.60,David Noble Relays,"Apr 7, 2023",0.9
2,"Hinton, Ny'Cierra",SO-2,St. Thomas (Tex.),12.60,The 40th Victor Lopez Classic (College),"Mar 23, 2023",1.0
2,"Roderique, Mykler",FR-1,St. Thomas (Tex.),12.60,2023 Trinity Invitational,"Mar 3, 2023",1.0
5,"Puig, Avery",SR-4,Trinity (Tex.),12.75,David Noble Relays,"Apr 7, 2023",1.4
6,"Subawalla, Yasmin",SR-4,Trinity (Tex.),12.77,D3 Challenge,"Mar 25, 2023",3.5
7,"Garcia, Natalie",FR-1,Texas Lutheran,12.84,2023 Trinity Invitational,"Mar 3, 2023",1.2
7,"Lippert, Clara",FR-1,Colorado College,"12.84
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",1.7
9,"Areola, Joy",SO-2,Trinity (Tex.),12.89,D3 Challenge,"Mar 25, 2023",1.7
10,"Oloyede, Shekinah",SR-4,Colorado College,"12.90
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",1.7
10,"Nation, Ebonee",FR-1,St. Thomas (Tex.),12.90,Cameron Burrell Alumni Invitational,"Apr 7, 2023",1.2
12,"Mackrell, Lauren",SR-4,Southwestern (Tex.),12.91,David Noble Relays,"Apr 7, 2023",1.3
13,"Williams, Ja'Keia",JR-3,Texas Lutheran,12.93,D3 Challenge,"Mar 25, 2023",1.7
14,"Norrell, Taylor",SO-2,Texas Lutheran,12.94,D3 Challenge,"Mar 25, 2023",1.7
15,"Provost, Trinity",FR-1,St. Thomas (Tex.),12.99,The 40th Victor Lopez Classic (College),"Mar 23, 2023",0.9
16,"Cavazos, Ciara",SO-2,Texas Lutheran,13.16,D3 Challenge,"Mar 25, 2023",3.5
17,"Lopez, Leilani",SO-2,Texas Lutheran,13.22,2023 Trinity Invitational,"Mar 3, 2023",1.0
18,"Davis, Claudia",FR-1,St. Thomas (Tex.),13.24,2023 Trinity Invitational,"Mar 3, 2023",1.2
19,"Noe, Aliya",FR-1,Trinity (Tex.),13.27,D3 Challenge,"Mar 25, 2023",3.5
20,"Bartlett, Sage",FR-1,Texas Lutheran,13.29,D3 Challenge,"Mar 25, 2023",3.5
21,"Gomez, Sirena",SO-2,Texas Lutheran,13.34,David Noble Relays,"Apr 7, 2023",2.3
22,"Pilarski, Katelin",FR-1,Southwestern (Tex.),13.36,2023 Trinity Invitational,"Mar 3, 2023",0.8
23,"Tanner, Kamilah",FR-1,Texas Lutheran,13.39,D3 Challenge,"Mar 25, 2023",3.5
24,"Garza, Sophia",FR-1,Trinity (Tex.),13.54,2023 Trinity Invitational,"Mar 3, 2023",+0.0
25,"Jones, Emma",FR-1,Colorado College,13.56,Occidental Distance Carnival & Spring Break Classic (Co,"Mar 11, 2023",1.3

1,"Jefferson, Elijah",SO-2,Texas Lutheran,21.05,D3 Challenge,"Mar 25, 2023",1.1
2,"Williams, Josh",FR-1,Colorado College,"21.57
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",NWI
3,"Mcintyre, Bryce",JR-3,St. Thomas (Tex.),21.93,The 40th Victor Lopez Classic (College),"Mar 23, 2023",1.5
4,"Wilson, Wyatt",SO-2,Texas Lutheran,21.94,D3 Challenge,"Mar 25, 2023",1.1
5,"Powell-Chimene, Bryce",JR-3,Texas Lutheran,22.04,D3 Challenge,"Mar 25, 2023",2.0
6,"Piken, Orie",FR-1,Trinity (Tex.),22.11,D3 Challenge,"Mar 25, 2023",2.0
7,"Gilmore, Ethan",SR-4,Trinity (Tex.),22.17,D3 Challenge,"Mar 25, 2023",1.1
8,"Grigsby, Legend",JR-3,Trinity (Tex.),22.35,David Noble Relays,"Apr 7, 2023",0.5
8,"Kapyamba, Kashala",FR-1,St. Thomas (Tex.),22.35,The 40th Victor Lopez Classic (College),"Mar 23, 2023",0.6
10,"Freeney, Justin",FR-1,Texas Lutheran,22.40,D3 Challenge,"Mar 25, 2023",1.1
11,"Jackson, Zakyrn",SO-2,Southwestern (Tex.),22.43,2023 Trinity Invitational,"Mar 3, 2023",2.4
12,"Waller, Eduardo",SO-2,St. Thomas (Tex.),22.49,The 40th Victor Lopez Classic (College),"Mar 23, 2023",0.6
12,"Bishop, Grant",JR-3,Trinity (Tex.),22.49,2023 Trinity Invitational,"Mar 3, 2023",0.6
14,"Guzman, Weston",FR-1,Texas Lutheran,22.52,D3 Challenge,"Mar 25, 2023",2.0
15,"Brachett, Kaleb",JR-3,Texas Lutheran,22.53,D3 Challenge,"Mar 25, 2023",2.0
16,"Davis, Victor",FR-1,St. Thomas (Tex.),22.54,2023 Trinity Invitational,"Mar 3, 2023",2.4
17,"Maxey, Jamal",SO-2,Southwestern (Tex.),22.56,2023 Trinity Invitational,"Mar 3, 2023",0.4
18,"Ikwuemesi, Chuks",SO-2,Southwestern (Tex.),22.60,David Noble Relays,"Apr 7, 2023",1.1
19,"Bullinger, Drew",SR-4,Trinity (Tex.),22.65,D3 Challenge,"Mar 25, 2023",2.0
20,"King, Michael",FR-1,Southwestern (Tex.),22.76,Ice Breaker Classic,"Mar 17, 2023",3.0
21,"Olmsted, Jonathan",FR-1,Dallas,22.84,Southern Arkansas-Dan Veach Invite,"Mar 25, 2023",2.3
22,"Witt, Evan",SR-4,Trinity (Tex.),22.85,David Noble Relays,"Apr 7, 2023",+0.0
23,"Lee, Austin",JR-3,Trinity (Tex.),22.88,D3 Challenge,"Mar 25, 2023",1.8
24,"Perry, Holden",SO-2,Colorado College,"22.94
@",Kit Mayer Classic,"Apr 7, 2023",+0.0
25,"Miller, Ralph",SR-4,Texas Lutheran,23.19,David Noble Relays,"Apr 7, 2023",1.1

1,"Provost, Trinity",FR-1,St. Thomas (Tex.),25.82,The 40th Victor Lopez Classic (College),"Mar 23, 2023",-0.5
2,"Gray, CC",SO-2,Trinity (Tex.),26.03,David Noble Relays,"Apr 7, 2023",1.8
3,"Selber, Danya",JR-3,Trinity (Tex.),26.05,David Noble Relays,"Apr 7, 2023",1.5
4,"Sawyers, Kaela",SO-2,St. Thomas (Tex.),26.10,Cameron Burrell Alumni Invitational,"Apr 7, 2023",1.7
5,"Ledat, Sealan",SR-4,Trinity (Tex.),26.14,D3 Challenge,"Mar 25, 2023",+0.0
6,"Powell, Makayla",FR-1,St. Thomas (Tex.),26.23,The 40th Victor Lopez Classic (College),"Mar 23, 2023",-0.5
7,"Lippert, Clara",FR-1,Colorado College,"26.24
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",NWI
8,"Garcia, Natalie",FR-1,Texas Lutheran,26.33,D3 Challenge,"Mar 25, 2023",+0.0
9,"Jackson, Aliya",JR-3,Trinity (Tex.),26.47,David Noble Relays,"Apr 7, 2023",0.8
10,"Hinton, Ny'Cierra",SO-2,St. Thomas (Tex.),26.59,2023 Trinity Invitational,"Mar 3, 2023",0.5
11,"Kotfas, Taylor",SR-4,Trinity (Tex.),26.79,2023 Trinity Invitational,"Mar 3, 2023",0.5
12,"Williams, Ja'Keia",JR-3,Texas Lutheran,26.85,2023 Trinity Invitational,"Mar 3, 2023",1.6
13,"Mackrell, Lauren",SR-4,Southwestern (Tex.),27.01,David Noble Relays,"Apr 7, 2023",1.2
14,"Jones, Emma",FR-1,Colorado College,"27.08
@",Dr. Dan Caprioglio CSU Pueblo Early Bird Invitational,"Mar 17, 2023",0.8
15,"Oloyede, Shekinah",SR-4,Colorado College,"27.09
@",Gustavus/Colorado College Dual Meet,"Apr 3, 2023",NWI
16,"Subawalla, Yasmin",SR-4,Trinity (Tex.),27.30,David Noble Relays,"Apr 7, 2023",2.0
17,"Canas, LeeAnndrea",FR-1,Texas Lutheran,27.37,David Noble Relays,"Apr 7, 2023",1.8
18,"Recknagel, Ashlynn",FR-1,Texas Lutheran,27.50,D3 Challenge,"Mar 25, 2023",+0.0
19,"Norrell, Taylor",SO-2,Texas Lutheran,27.56,2023 Trinity Invitational,"Mar 3, 2023",1.6
20,"Thompson, Dejahnae",SR-4,Southwestern (Tex.),27.70,2023 Trinity Invitational,"Mar 3, 2023",0.3
21,"Vera, Nelsy",FR-1,St. Thomas (Tex.),27.78,The 40th Victor Lopez Classic (College),"Mar 23, 2023",-0.7
22,"Tanner, Kamilah",FR-1,Texas Lutheran,27.81,D3 Challenge,"Mar 25, 2023",2.1
23,"Lopez, Leilani",SO-2,Texas Lutheran,27.86,2023 Trinity Invitational,"Mar 3, 2023",1.7
24,"Pilarski, Katelin",FR-1,Southwestern (Tex.),27.99,2023 Trinity Invitational,"Mar 3, 2023",0.3
25,"Gomez, Sirena",SO-2,Texas Lutheran,28.15,David Noble Relays,"Apr 7, 2023",1.5

1,"Williams, Josh",FR-1,Colorado College,"48.75
@",Kit Mayer Classic,"Apr 7, 2023"
2,"Mcintyre, Bryce",JR-3,St. Thomas (Tex.),48.86,2023 Trinity Invitational,"Mar 3, 2023"
3,"Waller, Eduardo",SO-2,St. Thomas (Tex.),49.22,The 40th Victor Lopez Classic (College),"Mar 23, 2023"
4,"Powell-Chimene, Bryce",JR-3,Texas Lutheran,49.47,2023 Trinity Invitational,"Mar 3, 2023"
5,"Olmsted, Jonathan",FR-1,Dallas,49.53,2023 MC Spring Cleaning Classic,"Mar 4, 2023"
6,"Gilmore, Ethan",SR-4,Trinity (Tex.),49.83,D3 Challenge,"Mar 25, 2023"
7,"Ladreyt, Nic",SO-2,Trinity (Tex.),50.38,2023 Trinity Invitational,"Mar 3, 2023"
8,"Maxey, Jamal",SO-2,Southwestern (Tex.),50.42,Ice Breaker Classic,"Mar 17, 2023"
9,"Bishop, Grant",JR-3,Trinity (Tex.),50.66,2023 Trinity Invitational,"Mar 3, 2023"
10,"Freeney, Justin",FR-1,Texas Lutheran,50.70,2023 Trinity Invitational,"Mar 3, 2023"
11,"Kapyamba, Kashala",FR-1,St. Thomas (Tex.),50.92,2023 Trinity Invitational,"Mar 3, 2023"
