Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Anderson, Jackson",JR-3,Williams,10.57,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
2,"Botsford, Luke",JR-3,Tufts,10.63,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
3,"Davis, Jack",JR-3,Williams,10.75,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
4,"Lemieux, Alex",SR-4,Tufts,10.76,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
5,"Harrison, Jordan",FR-1,Amherst,10.79,Black & Gold Invitational,"Mar 31, 2023",1.2,100 Meters,NESCAC Outdoor Performance List,Men
6,"Castanon, Aidan",FR-1,Middlebury,10.83,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,NESCAC Outdoor Performance List,Men
7,"Clark, Richard",FR-1,Middlebury,10.87,PLNU Invitational,"Mar 25, 2023",2.8,100 Meters,NESCAC Outdoor Performance List,Men
8,"Newman, Oscar",SO-2,Williams,10.89,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
9,"Nissen, Sam",FR-1,Tufts,10.90,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,NESCAC Outdoor Performance List,Men
10,"Olson, Ajay",SR-4,Bowdoin,10.94,2023 Carla Coffey Invitational,"Apr 14, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Men
10,"Shen, Derek",SR-4,Bates,10.94,UMASS Commonwealth Invitational,"Apr 15, 2023",0.7,100 Meters,NESCAC Outdoor Performance List,Men
12,"Pierce, Cody",FR-1,Amherst,11.02,Black & Gold Invitational,"Mar 31, 2023",1.2,100 Meters,NESCAC Outdoor Performance List,Men
13,"Turner, Noah",SO-2,Tufts,11.04,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,100 Meters,NESCAC Outdoor Performance List,Men
14,"Gedeon-Hope, Aydan",SO-2,Bates,11.05,UMASS Commonwealth Invitational,"Apr 15, 2023",-1.4,100 Meters,NESCAC Outdoor Performance List,Men
15,"Harmsen, Joshua",SR-4,Hamilton,11.06,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.8,100 Meters,NESCAC Outdoor Performance List,Men
15,"Stakun-Pickering, Colby",SR-4,Bates,11.06,Bates College Quad Meet,"Apr 1, 2023",1.4,100 Meters,NESCAC Outdoor Performance List,Men
17,"O'Connor, Kevin",SO-2,Bates,11.11,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.9,100 Meters,NESCAC Outdoor Performance List,Men
18,"Washington, Naheim",SO-2,Tufts,11.12,PLNU Invitational,"Mar 25, 2023",3.5,100 Meters,NESCAC Outdoor Performance List,Men
19,"Tobias, Aaron",JR-3,Middlebury,11.13,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,NESCAC Outdoor Performance List,Men
20,"Nichols, Alexander",FR-1,Amherst,11.14,Black & Gold Invitational,"Mar 31, 2023",1.6,100 Meters,NESCAC Outdoor Performance List,Men
21,"Motroni, Marco",SO-2,Middlebury,11.24,2023 Carla Coffey Invitational,"Apr 14, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Men
21,"Rosewell, Carter",SR-4,Tufts,11.24,2023 Carla Coffey Invitational,"Apr 14, 2023",0.6,100 Meters,NESCAC Outdoor Performance List,Men
23,"Bell, Benjamin",JR-3,Amherst,11.25,Black & Gold Invitational,"Mar 31, 2023",1.2,100 Meters,NESCAC Outdoor Performance List,Men
23,"Swann, Alexander",SO-2,Middlebury,11.25,PLNU Invitational,"Mar 25, 2023",3.1,100 Meters,NESCAC Outdoor Performance List,Men
23,"Coleman, Walker",SR-4,Middlebury,11.25,PLNU Invitational,"Mar 25, 2023",3.1,100 Meters,NESCAC Outdoor Performance List,Men
26,"Bogan, Terrence",JR-3,Trinity (Conn.),11.29,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Men
27,"Quiet, Connor",SO-2,Trinity (Conn.),11.34,CGA Spring Invite,"Apr 8, 2023",1.9,100 Meters,NESCAC Outdoor Performance List,Men
27,"Kennon, Oliver",SO-2,Colby,11.34,Emory Spring Break Classic 2023,"Mar 17, 2023",2.2,100 Meters,NESCAC Outdoor Performance List,Men
29,"Johnson, Zuri",FR-1,Trinity (Conn.),11.35,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Men
30,"Alban, Luke",FR-1,Connecticut College,11.37,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,NESCAC Outdoor Performance List,Men
31,"Murray, William",SO-2,Williams,11.38,PLNU Invitational,"Mar 25, 2023",2.8,100 Meters,NESCAC Outdoor Performance List,Men
32,"Deschenes, Chris",SR-4,Tufts,11.41,PLNU Invitational,"Mar 25, 2023",3.1,100 Meters,NESCAC Outdoor Performance List,Men
32,"Edwards, Daryl",SO-2,Middlebury,11.41,Ross and Sharon Irwin meet,"Mar 18, 2023",-1.6,100 Meters,NESCAC Outdoor Performance List,Men
34,"Cooper, Ethan",SR-4,Williams,11.42,PLNU Invitational,"Mar 25, 2023",3.5,100 Meters,NESCAC Outdoor Performance List,Men
34,"Griffin, Robert",SR-4,Bates,11.42,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",1.1,100 Meters,NESCAC Outdoor Performance List,Men
36,"McKenna, Nolan",SO-2,Trinity (Conn.),11.43,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Men
37,"Mcguire-Berk, Dov",JR-3,Bowdoin,11.45,2023 Carla Coffey Invitational,"Apr 14, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Men
38,"Lewis, Ricaldo",FR-1,Hamilton,11.47,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.5,100 Meters,NESCAC Outdoor Performance List,Men
39,"Breen, Colin",JR-3,Middlebury,11.48,PLNU Invitational,"Mar 25, 2023",3.1,100 Meters,NESCAC Outdoor Performance List,Men
