Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Spivery, Jamauri",SR-4,North Central (Ill.),10.83,Wheaton Invitational 2023,14-Apr-23,0.1,100 Meters,CCIW,Men
2,"Lind, Kevin",JR-3,Carroll (Wis.),10.87,Wisconsin Private College Championships,2-Apr-23,2.7,100 Meters,CCIW,Men
3,"Sottos, Seth",JR-3,Augustana (Ill.),10.89,Wartburg Outdoor Select,1-Apr-23,2.6,100 Meters,CCIW,Men
4,"Smith, Charles",SR-4,North Central (Ill.),10.96,NCC 1st Chance Invitational - 2023,7-Apr-23,2.1,100 Meters,CCIW,Men
5,"Anderson, Mac",SO-2,Carthage,10.97,Wisconsin Private College Championships,2-Apr-23,1.7,100 Meters,CCIW,Men
6,"Griffin, Colin",SO-2,Millikin,10.98,2023 Millikin Alumni Invite,1-Apr-23,4.2,100 Meters,CCIW,Men
7,"Abracia-Wendel, Sean",FR-1,Augustana (Ill.),11,Wheaton Invitational 2023,14-Apr-23,3.7,100 Meters,CCIW,Men
8,"Gilbert, JP",SR-4,Wheaton (Ill.),11.02,Wheaton Invitational 2023,14-Apr-23,3.7,100 Meters,CCIW,Men
9,"Koslofski, Kemper",FR-1,Millikin,11.03,Greenville College Select Meet,15-Apr-23,3,100 Meters,CCIW,Men
10,"Scott, Jahari",FR-1,Illinois Wesleyan,11.05,Wheaton Invitational 2023,14-Apr-23,2,100 Meters,CCIW,Men
11,"Schumacher, Keondre",SR-4,Illinois Wesleyan,11.13,Wheaton Invitational 2023,14-Apr-23,0.1,100 Meters,CCIW,Men
12,"Saunders, Eddie",SO-2,Illinois Wesleyan,11.17,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.9,100 Meters,CCIW,Men
12,"Shugarman, Luke",SO-2,Carthage,11.17,NCC 1st Chance Invitational - 2023,7-Apr-23,2.1,100 Meters,CCIW,Men
14,"Clausen, Isaiah",SR-4,Wheaton (Ill.),11.18,Gibson Invitational & Multis,13-Apr-23,0.9,100 Meters,CCIW,Men
14,"Williams, Jahron",SO-2,North Central (Ill.),11.18,Wheaton Invitational 2023,14-Apr-23,3.7,100 Meters,CCIW,Men
16,"Ratcliff, Carter",FR-1,Carroll (Wis.),11.19,Wisconsin Private College Championships,2-Apr-23,2,100 Meters,CCIW,Men
17,"Lehman, Andrew",SR-4,North Central (Ill.),11.2,Spartan Opener,2-Apr-23,5.1,100 Meters,CCIW,Men
17,"Martinez, Rickey",SO-2,Elmhurst,11.2,Illinois College True Blue Invite,7-Apr-23,3,100 Meters,CCIW,Men
17,"Tomko, Cameron",SO-2,Augustana (Ill.),11.2,Rex Foster Twilight,7-Apr-23,1.4,100 Meters,CCIW,Men
20,"Langan, Aidan",FR-1,Wheaton (Ill.),11.25,NCC 1st Chance Invitational - 2023,7-Apr-23,2.1,100 Meters,CCIW,Men
21,"Nelson, Jaylan",FR-1,Carthage,11.27,Wheaton Invitational 2023,14-Apr-23,1.5,100 Meters,CCIW,Men
22,"Pearce, Jack",FR-1,Millikin,11.28,Illinois College True Blue Invite,7-Apr-23,3,100 Meters,CCIW,Men
22,"Smith, Jason",JR-3,Augustana (Ill.),11.28,Rex Foster Twilight,7-Apr-23,1.9,100 Meters,CCIW,Men
