Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Smith, Josh",SR-4,Loras,10.62,UW-Platteville Invitational,"Apr 14, 2023",-2.0,100 Meters,American Rivers Outdoor Performance List,Men
2,"Bell, Jaylen",JR-3,Dubuque,10.70,Good Friday Open,"Apr 7, 2023",4.3,100 Meters,American Rivers Outdoor Performance List,Men
2,"Williams, Randy",FR-1,Wartburg,10.70,Wartburg Outdoor Select,"Apr 1, 2023",2.6,100 Meters,American Rivers Outdoor Performance List,Men
4,"Bunten, Derik",SO-2,Loras,10.72,UW-Platteville Invitational,"Apr 14, 2023",1.2,100 Meters,American Rivers Outdoor Performance List,Men
5,"Conner, Morgan",JR-3,Nebraska Wesleyan,10.74,2023 Central Nebraska Challenge,"Apr 1, 2023",0.4,100 Meters,American Rivers Outdoor Performance List,Men
6,"Steed, Jeremiah",SR-4,Dubuque,10.78,Good Friday Open,"Apr 7, 2023",4.3,100 Meters,American Rivers Outdoor Performance List,Men
7,"Nolan, Riley",JR-3,Wartburg,10.82,Kansas Relays,"Apr 13, 2023",3.7,100 Meters,American Rivers Outdoor Performance List,Men
8,"Williams, Jaidyn",SO-2,Dubuque,10.84,Good Friday Open,"Apr 7, 2023",3.6,100 Meters,American Rivers Outdoor Performance List,Men
9,"Booker, Dallen",FR-1,Nebraska Wesleyan,10.92,2023 Central Nebraska Challenge,"Apr 1, 2023",2.4,100 Meters,American Rivers Outdoor Performance List,Men
10,"Deas, Brandon",SR-4,Luther,10.93,UW-Platteville Opener,"Apr 1, 2023",4.2,100 Meters,American Rivers Outdoor Performance List,Men
11,"Day, Frank",SO-2,Loras,10.95,Spartan Opener,"Apr 2, 2023",3.4,100 Meters,American Rivers Outdoor Performance List,Men
12,"Dalmeida, Steven",FR-1,Nebraska Wesleyan,10.98,Doane - Wesleyan Dual 2023,"Apr 7, 2023",0.6,100 Meters,American Rivers Outdoor Performance List,Men
13,"Smith, Derrick",SO-2,Wartburg,10.99,Wichita State KT Woodman Classic,"Apr 7, 2023",1.7,100 Meters,American Rivers Outdoor Performance List,Men
13,"Kamara, Jacob",SO-2,Wartburg,10.99,Wartburg Outdoor Select,"Apr 1, 2023",2.6,100 Meters,American Rivers Outdoor Performance List,Men
15,"Klein, De'Andre",SR-4,Loras,11.01,UW-Platteville Invitational,"Apr 14, 2023",-2.0,100 Meters,American Rivers Outdoor Performance List,Men
16,"Jeanisse, John",SO-2,Buena Vista,11.04,Mustang Open,"Apr 1, 2023",0.9,100 Meters,American Rivers Outdoor Performance List,Men
16,"Frost, JoJo",JR-3,Dubuque,11.04,Spartan Opener,"Apr 2, 2023",3.4,100 Meters,American Rivers Outdoor Performance List,Men
18,"Sams, Joseph",FR-1,Simpson (Iowa),11.07,Dutch-Storm Dual Meet,"Apr 14, 2023",2.4,100 Meters,American Rivers Outdoor Performance List,Men
19,"Achebe, Kendrick",FR-1,Simpson (Iowa),11.08,Dutch-Storm Dual Meet,"Apr 14, 2023",2.4,100 Meters,American Rivers Outdoor Performance List,Men
19,"Bates, Ashton",SO-2,Buena Vista,11.08,USD Early Bird,"Apr 7, 2023",4.7,100 Meters,American Rivers Outdoor Performance List,Men
19,"Foreman, Dayvion",SO-2,Loras,11.08,SAU Easter Weekend,"Apr 5, 2023",1.4,100 Meters,American Rivers Outdoor Performance List,Men
22,"Atikpohou, Kodjo",JR-3,Nebraska Wesleyan,11.10,Doane - Wesleyan Dual 2023,"Apr 7, 2023",1.8,100 Meters,American Rivers Outdoor Performance List,Men
22,"Coy, Michael",FR-1,Loras,11.10,Spartan Opener,"Apr 2, 2023",5.1,100 Meters,American Rivers Outdoor Performance List,Men
24,"Hardison, Blake",SO-2,Dubuque,11.12,UW-Platteville Invitational,"Apr 14, 2023",0.7,100 Meters,American Rivers Outdoor Performance List,Men
25,"Nauert, Austin",SO-2,Nebraska Wesleyan,11.13,2023 Central Nebraska Challenge,"Apr 1, 2023",1.6,100 Meters,American Rivers Outdoor Performance List,Men
1,"Noland, Gabrielle",SR-4,Loras,11.91,UW-Platteville Invitational,"Apr 14, 2023",2.3,100 Meters,American Rivers Outdoor Performance List,Women
2,"Edwards , Marion",SR-4,Loras,11.93,UW-Platteville Invitational,"Apr 14, 2023",2.3,100 Meters,American Rivers Outdoor Performance List,Women
3,"Seipel, Emma",SO-2,Dubuque,12.12,Spartan Opener,"Apr 2, 2023",4.7,100 Meters,American Rivers Outdoor Performance List,Women
4,"Creasy, Harmony",SO-2,Loras,12.14,UW-Platteville Invitational,"Apr 14, 2023",2.0,100 Meters,American Rivers Outdoor Performance List,Women
5,"Kohlhof, Kelly",SO-2,Loras,12.19,Spartan Opener,"Apr 2, 2023",4.7,100 Meters,American Rivers Outdoor Performance List,Women
6,"Sidney, Mikala",SO-2,Wartburg,12.26,Wartburg Outdoor Select,"Apr 1, 2023",2.2,100 Meters,American Rivers Outdoor Performance List,Women
7,"McMartin, Emily",FR-1,Central College,12.31,Dutch Invitational 2023,"Apr 7, 2023",3.1,100 Meters,American Rivers Outdoor Performance List,Women
8,"Booth, Kynzi",SO-2,Nebraska Wesleyan,12.45,Doane - Wesleyan Dual 2023,"Apr 7, 2023",0.6,100 Meters,American Rivers Outdoor Performance List,Women
9,"Geary, Breanne",SO-2,Nebraska Wesleyan,12.47,Doane - Wesleyan Dual 2023,"Apr 7, 2023",0.6,100 Meters,American Rivers Outdoor Performance List,Women
10,"Jondle, Katara",JR-3,Buena Vista,12.52,Sioux City Relays 2023,"Apr 14, 2023",1.6,100 Meters,American Rivers Outdoor Performance List,Women
11,"Sickelka, Willa",FR-1,Central College,12.55,Kansas Relays,"Apr 13, 2023",5.4,100 Meters,American Rivers Outdoor Performance List,Women
12,"Gustason, Mary",FR-1,Central College,12.57,Dutch Invitational 2023,"Apr 7, 2023",2.1,100 Meters,American Rivers Outdoor Performance List,Women
13,"Hourigan, Keeley",SO-2,Nebraska Wesleyan,12.65,2023 Central Nebraska Challenge,"Apr 1, 2023",2.8,100 Meters,American Rivers Outdoor Performance List,Women
14,"Johnston, Kylie",SR-4,Buena Vista,12.67,USD Early Bird,"Apr 7, 2023",4.6,100 Meters,American Rivers Outdoor Performance List,Women
15,"Clemons, Bianca",FR-1,Simpson (Iowa),12.70,Dutch-Storm Dual Meet,"Apr 14, 2023",3.5,100 Meters,American Rivers Outdoor Performance List,Women
16,"Alliss, Keira",FR-1,Dubuque,12.71,Spartan Opener,"Apr 2, 2023",4.7,100 Meters,American Rivers Outdoor Performance List,Women
17,"Cummins, Natalie",SO-2,Nebraska Wesleyan,12.76,2023 Central Nebraska Challenge,"Apr 1, 2023",1.2,100 Meters,American Rivers Outdoor Performance List,Women
18,"Kruse, Brooke",SO-2,Loras,12.77,Spartan Opener,"Apr 2, 2023",4.7,100 Meters,American Rivers Outdoor Performance List,Women
19,"Leimbach, Kate",FR-1,Nebraska Wesleyan,12.79,Doane - Wesleyan Dual 2023,"Apr 7, 2023",0.4,100 Meters,American Rivers Outdoor Performance List,Women
