SUNYAC Indoor Performance List
60 Meters

1,"Brown, Kelly",JR-3,Brockport St.,6.97,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
2,"Montville, Brexton",JR-3,Plattsburgh St.,6.98,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Abdo, Nick",SR-4,Fredonia,7.03,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
4,"McGrath, Tyler",FR-1,Buffalo State,7.04,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Schaffert, Matthew",FR-1,Cortland St.,7.07,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Boothby, Eli",FR-1,SUNY Geneseo,7.07,Houghton December Classic,"Dec 2, 2022"
7,"Jensen, Lance",SO-2,SUNY Geneseo,7.08,Winter Welcome Back,"Jan 21, 2023"
8,"Jacobs, Bryan",SO-2,SUNY Geneseo,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
8,"Jeziorski, Josh",SR-4,Brockport St.,7.09,Nazareth Alumni Invite,"Dec 9, 2022"
8,"Ottenwalder, Aaron",FR-1,Brockport St.,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
11,"Williams, Jordan",FR-1,Plattsburgh St.,7.13,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
12,"Sands, Cameron",FR-1,Oneonta,7.14,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
13,"Higgins, Zaire",SO-2,Cortland St.,7.15,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
13,"Jones, Aaron",SR-4,Cortland St.,7.15,Utica Holiday Classic,"Dec 10, 2022"
15,"Polk, Jarrod",FR-1,Buffalo State,7.16,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
16,"Nix, Howard",FR-1,Brockport St.,7.17,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
17,"Goring, Coltrane",SR-4,Cortland St.,7.18,Greg Page 2022,"Dec 3, 2022"
17,"Ganley, Chris",JR-3,Oneonta,7.18,Marc Deneault Invitational 2023,"Feb 18, 2023"
17,"Delany, Judson",FR-1,SUNY Geneseo,7.18,Nazareth Alumni Invite,"Dec 9, 2022"
20,"Jensen, Evan",SO-2,Cortland St.,7.21,Greg Page 2022,"Dec 3, 2022"
20,"Winn, Jacob",FR-1,Fredonia,7.21,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Serp, Ryan",SR-4,Cortland St.,7.23,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
22,"Dankwa, Alex",JR-3,Buffalo State,7.23,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Manente, Eddie",FR-1,Cortland St.,7.23,2023 Bomber Invitational,"Feb 4, 2023"
25,"Cypress, Charles",FR-1,Plattsburgh St.,7.26,Middlebury Winter Classic,"Jan 20, 2023"
26,"Nieves, Eric",SO-2,Oneonta,7.27,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
200 Meters

1,"Brown, Kelly",JR-3,Brockport St.,6.97,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
2,"Montville, Brexton",JR-3,Plattsburgh St.,6.98,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Abdo, Nick",SR-4,Fredonia,7.03,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
4,"McGrath, Tyler",FR-1,Buffalo State,7.04,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Schaffert, Matthew",FR-1,Cortland St.,7.07,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Boothby, Eli",FR-1,SUNY Geneseo,7.07,Houghton December Classic,"Dec 2, 2022"
7,"Jensen, Lance",SO-2,SUNY Geneseo,7.08,Winter Welcome Back,"Jan 21, 2023"
8,"Jacobs, Bryan",SO-2,SUNY Geneseo,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
8,"Jeziorski, Josh",SR-4,Brockport St.,7.09,Nazareth Alumni Invite,"Dec 9, 2022"
8,"Ottenwalder, Aaron",FR-1,Brockport St.,7.09,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
11,"Williams, Jordan",FR-1,Plattsburgh St.,7.13,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
12,"Sands, Cameron",FR-1,Oneonta,7.14,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
13,"Higgins, Zaire",SO-2,Cortland St.,7.15,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
13,"Jones, Aaron",SR-4,Cortland St.,7.15,Utica Holiday Classic,"Dec 10, 2022"
15,"Polk, Jarrod",FR-1,Buffalo State,7.16,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
16,"Nix, Howard",FR-1,Brockport St.,7.17,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
17,"Goring, Coltrane",SR-4,Cortland St.,7.18,Greg Page 2022,"Dec 3, 2022"
17,"Ganley, Chris",JR-3,Oneonta,7.18,Marc Deneault Invitational 2023,"Feb 18, 2023"
17,"Delany, Judson",FR-1,SUNY Geneseo,7.18,Nazareth Alumni Invite,"Dec 9, 2022"
20,"Jensen, Evan",SO-2,Cortland St.,7.21,Greg Page 2022,"Dec 3, 2022"
20,"Winn, Jacob",FR-1,Fredonia,7.21,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Serp, Ryan",SR-4,Cortland St.,7.23,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
22,"Dankwa, Alex",JR-3,Buffalo State,7.23,Nazareth Conference Tune-Up,"Feb 17, 2023"
22,"Manente, Eddie",FR-1,Cortland St.,7.23,2023 Bomber Invitational,"Feb 4, 2023"
25,"Cypress, Charles",FR-1,Plattsburgh St.,7.26,Middlebury Winter Classic,"Jan 20, 2023"
26,"Nieves, Eric",SO-2,Oneonta,7.27,"Ithaca College vs. TCNJ, Cortland & Oneonta","Jan 21, 2023"
400 Meters

1,"Brown, Kelly",JR-3,Brockport St.,6.97,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
2,"Montville, Brexton",JR-3,Plattsburgh St.,6.98,SUNYAC Indoor Track & Field Championships,"Feb 24, 2023"
